date,symbol,amount
2021-01-04,002450.SZ,0.0
2021-01-05,002450.SZ,0.0
2021-01-06,002450.SZ,0.0
2021-01-07,002450.SZ,0.0
2021-01-08,002450.SZ,0.0
2021-01-11,002450.SZ,0.0
2021-01-12,002450.SZ,0.0
2021-01-13,002450.SZ,0.0
2021-01-14,002450.SZ,0.0
2021-01-15,002450.SZ,0.0
2021-01-18,002450.SZ,0.0
2021-01-19,002450.SZ,0.0
2021-01-20,002450.SZ,0.0
2021-01-21,002450.SZ,0.0
2021-01-22,002450.SZ,0.0
2021-01-25,002450.SZ,0.0
2021-01-26,002450.SZ,0.0
2021-01-27,002450.SZ,0.0
2021-01-28,002450.SZ,0.0
2021-01-29,002450.SZ,0.0
2021-02-01,002450.SZ,0.0
2021-02-02,002450.SZ,0.0
2021-02-03,002450.SZ,0.0
2021-02-04,002450.SZ,0.0
2021-02-05,002450.SZ,0.0
2021-02-08,002450.SZ,0.0
2021-02-09,002450.SZ,0.0
2021-02-10,002450.SZ,0.0
2021-02-18,002450.SZ,0.0
2021-02-19,002450.SZ,0.0
2021-02-22,002450.SZ,0.0
2021-02-23,002450.SZ,0.0
2021-02-24,002450.SZ,0.0
2021-02-25,002450.SZ,0.0
2021-02-26,002450.SZ,0.0
2021-03-01,002450.SZ,0.0
2021-03-02,002450.SZ,0.0
2021-03-03,002450.SZ,0.0
2021-03-04,002450.SZ,0.0
2021-03-05,002450.SZ,0.0
2021-03-08,002450.SZ,0.0
2021-03-09,002450.SZ,0.0
2021-03-10,002450.SZ,0.0
2021-03-11,002450.SZ,0.0
2021-03-12,002450.SZ,0.0
2021-03-15,002450.SZ,0.0
2021-03-16,002450.SZ,0.0
2021-03-17,002450.SZ,0.0
2021-03-18,002450.SZ,0.0
2021-03-19,002450.SZ,0.0
2021-03-22,002450.SZ,0.0
2021-03-23,002450.SZ,0.0
2021-03-24,002450.SZ,0.0
2021-03-25,002450.SZ,0.0
2021-03-26,002450.SZ,0.0
2021-03-29,002450.SZ,0.0
2021-03-30,002450.SZ,0.0
2021-03-31,002450.SZ,0.0
2021-04-01,002450.SZ,0.0
2021-04-02,002450.SZ,0.0
2021-04-06,002450.SZ,0.0
2021-04-07,002450.SZ,0.0
2021-04-08,002450.SZ,0.0
2021-04-09,002450.SZ,0.0
2021-04-12,002450.SZ,0.0
2021-04-13,002450.SZ,0.0
2021-08-11,600068.SH,0.0
2021-09-02,600068.SH,0.0
2021-09-03,600068.SH,0.0
2021-09-06,600068.SH,0.0
2021-09-07,600068.SH,0.0
2021-09-08,600068.SH,0.0
2021-09-09,600068.SH,0.0
2021-09-10,600068.SH,0.0
2021-09-13,600068.SH,0.0
2022-04-28,600804.SH,0.0
2022-05-05,002411.SZ,0.0
2022-05-06,002411.SZ,0.0
2022-05-09,002411.SZ,0.0
2022-05-10,002411.SZ,0.0
2022-05-11,002411.SZ,0.0
2022-05-12,002411.SZ,0.0
2022-05-13,002411.SZ,0.0
2022-05-16,002411.SZ,0.0
2022-05-17,002411.SZ,0.0
2022-05-18,002411.SZ,0.0
2022-05-19,002411.SZ,0.0
2022-05-20,002411.SZ,0.0
2022-05-23,002411.SZ,0.0
2022-05-24,002411.SZ,0.0
2022-05-25,002411.SZ,0.0
2022-05-26,002411.SZ,0.0
2022-05-27,002411.SZ,0.0
2022-05-30,002411.SZ,0.0
2022-05-31,002411.SZ,0.0
2022-06-01,002411.SZ,0.0
2022-06-02,002411.SZ,0.0
2022-06-06,002411.SZ,0.0
2022-06-07,002411.SZ,0.0
2022-06-08,002411.SZ,0.0
2022-06-09,002411.SZ,0.0
2022-06-10,002411.SZ,0.0
2022-06-13,002411.SZ,0.0
2022-06-14,002411.SZ,0.0
2022-06-15,002411.SZ,0.0
2022-06-16,002411.SZ,0.0
2022-06-17,002411.SZ,0.0
2022-06-20,002411.SZ,0.0
2022-06-21,002411.SZ,0.0
2022-06-22,002411.SZ,0.0
